test_suite,TC#,name,summary,preconditions,ad_types,steps,expected_results,test type,importance,status,execution_type
Ad Initialization,BSFN-1,fresh initialization after app installation,to verify fresh initialization after app installation,fresh installation,all ad types,"1. install the test app
 2. type in the vaild App ID and HostAPI
 3. initialize the app
 4. try to load multiple non-autocacheable ads","/new API is called successfully
 /config API is called successfully
 all active placements are listed in test app
 auto-cacheable placements complete in auto-caching
 ad loads work successfully",Basic,2,1,1
Ad Initialization,BSFN-2,the successful initialization with the valid app ID and valid hostAPI,to verify the successful initialization with the valid app ID and valid hostAPI,,all ad types,"1. close the test app
 2. type in the vaild App ID and HostAPI
 3. initialize the app
 4. try to load multiple non-autocacheable ads","/config API is called successfully
 all active placements are listed in test app
 auto-cacheable placements complete in auto-caching
 cached placements are playable
 ad loads work successfully",Basic,2,1,1
Ad Initialization,BSFN-3,/config API request payload,to verify /config API request payload,,any,"1. initialize the app
 2. observe /config request API payload",all information exists in /config request API payload,Basic,2,1,1
Ad Initialization,BSFN-4,the cached ad after re-initialization,to verify the cached ad after re-initialization,,all ad types,"1. initialize the app
 2. load multiple non-autocacheable placements and auto-cacheable placements
 3. close the test app
 4. type in the vaild App ID and HostAPI
 5. initialize the app
 6. observe the cached placements are playable","the cached placements should be playable without reloading the ad.
 the cached auto-cacheable placements should not be auto-cached.",Functional,2,1,1
Ad Initialization,BSFN-5,re-initialization after refresh timeout,to verify re-initialization after refresh timeout,short refresh_time,all ad types,"1. initialize the app
 2. wait for ""refresh_time""
 3. observe /config API is called","/config API is called successfully after refresh_time times out
 all active placements are listed in test app",Functional,2,1,1
Ad Initialization,BSFN-6,the failure of initialization with invalid HostAPI,to verify the failure of initialization with invalid HostAPI,"invalid HostAPI
 inactive HostAPI",any,"1. initialize the test app with the invalid HostAPI
 2. repeat with inactive HostAPI",Initialization fails and SDK should display error message,Negative,2,1,1
Ad Initialization,BSFN-7,the failure of initialization with invalid AppID,to verify the failure of initialization with invalid AppID,"invalid AppID
 inactive AppID",any,"1. initialize the test app with the invalid HostAPI
 2. repeat with inactive HostAPI",Initialization fails and SDK should display error message,Negative,2,1,1
Ad Initialization,BSFN-8,the initialization of zero placement app,to verify the initialization of zero placement app,zero placement App,any,1. initialize the app,"No placement lists in /config response API payload
 no placement lists in test app",Boundary,2,1,1
Ad Initialization,BSFN-9,the initialization of inactive placement,to verify the initialization of inactive placement,multiple inactive placements,all ad types,1. initialize the app,inactive placement are not listed in /config response API payload nor available in test app,Functional,2,1,1
Ad Initialization,BSFN-10,the initilization in background,to verify the initilization in background,,all ad types,"1. initialize the app
 2. put the app in background",initialization works successfully in background,Interruption,2,1,1
